HOLEID,GEOLFROM,GEOLTO,VALUE
test001,0,1,SO
test001,1,3,CL
test001,3,9,BS
test001,9,10,CL
test001,10,12,CL
test001,12,18,CL
test001,18,22,CL
test001,22,25,SA
test001,25,27,CL
test001,27,28,SA
test001,28,29,CL
test001,29,30,CL
test001,30,31,CL
test001,31,33,BS
test001,33,43,CL
test001,43,44,SA
test001,44,47,CL
test001,47,54,CL
test001,54,55,CL
test001,55,57,SA
test001,57,61,SS
test001,61,64,SS
test001,64,68,SS
test001,68,69,SS
test001,69,75,SS
test001,75,76,SS
test001,76,77,SS
test001,77,80,SS
test001,80,81,SS
test001,81,87,SS
test001,87,99,SS
test001,99,101,ST
test001,101,104.2,ST
test001,104.2,107,SS
test001,107,108,SS
test001,108,109,SS
test001,109,111,SS
test001,111,115,SS
test001,115,117,SS
test001,117,121.6,SS
test001,121.6,124,SS
test001,124,127,SS
test001,127,127.6,ST
test001,127.6,128.6,ST
test001,128.6,131,SS
test001,131,133.2,ST
test001,133.2,180.6,CO
test001,180.6,186.2,SS
test001,186.2,187,ST
test001,187,188,SS
test001,188,188.4,SS
test001,188.4,190.6,ST
test001,190.6,191,ST
test001,191,192,ST
test001,192,193,ST
test001,193,194,ST
test001,194,195,ST
test001,195,196.5,ST
test001,196.5,198.37,CO
test001,198.37,202,ST
test001,202,203,ST
test001,203,204,ST
test001,204,206,ST
test001,206,210,SS
test001,210,213,SS
test001,213,214,SS
test001,214,215,SS
test001,215,216,SS
test001,216,217,SS
test001,217,218,SS
test001,218,221.3,SS
test001,221.3,223,SS
test001,223,224,ST
test001,224,225,ST
test001,225,227,ST
test001,227,228,SS
test001,228,229,ST
test001,229,230,SS
test001,230,231,SS
test001,231,233.4,SS
test001,233.4,234,ST
test001,234,235,ST
test001,235,236,ST
test001,236,237,ST
test001,237,239,ST
test001,239,249.2,ST
test001,249.2,249.54,CO
test001,249.54,250,ST
test001,250,251,ST
test001,251,253.07,ST
test001,253.07,253.3,CO
test001,253.3,253.75,ST
test001,253.75,254.2,CO
test001,254.2,255.02,ST
test001,255.02,257.43,CO
test001,257.43,257.63,CS
test001,257.63,259.68,CO
test001,259.68,268,ST
test001,268,276,SS
test001,276,277,ST
test001,277,279.7,SS
test001,279.7,281,SS
test001,281,282.5,ST
test001,282.5,285,ST
test001,285,286,ST
test001,286,288,ST
test001,288,289.88,SS
test001,289.88,292.04,CO
test001,292.04,295.55,ST
test001,295.55,299.46,ST
test001,299.46,299.68,CO
test001,299.68,300,ST
test001,300,301.5,ST
test001,301.5,304,ST
test001,304,305,ST
test001,305,307,ST
test001,307,308.88,SS
test001,308.88,311.04,CO
test001,311.04,314.55,ST
test001,314.55,317.54,ST
test001,317.54,318.12,CO
test001,318.12,319.25,TF
test001,319.25,319.45,CO
test001,319.45,319.92,SS
test001,319.92,327.85,ST
test001,327.85,328.05,CO
test001,328.05,328.8,ST
test001,328.8,329.4,ST
test001,329.4,345.33,SS
test001,345.33,345.73,SS
test001,345.73,345.75,SD
test001,345.75,346.29,SS
test001,346.29,346.31,SD
test001,346.31,346.8,SS
test001,346.8,346.85,SD
test001,346.85,346.91,ST
test001,346.91,346.93,SD
test001,346.93,347.04,SS
test001,347.04,347.05,SD
test001,347.05,347.16,SS
test001,347.16,347.21,ST
test001,347.21,347.3,ST
test001,347.3,347.32,SD
test001,347.32,347.42,ST
test001,347.42,347.54,SS
test001,347.54,347.61,SS
test001,347.61,347.72,ST
test001,347.72,347.73,SD
test001,347.73,347.89,ST
test001,347.89,347.91,SD
test001,347.91,348.18,ST
test001,348.18,348.2,SD
test001,348.2,348.4,ST
test001,348.4,348.51,SD
test001,348.51,348.66,SS
test001,348.66,348.77,SS
test001,348.77,348.86,ST
test001,348.86,348.89,SS
test001,348.89,349.29,ST
test001,349.29,349.33,CA
test001,349.33,349.53,SS
test001,349.53,349.59,SS
test001,349.59,350.23,ST
test001,350.23,350.28,SS
test001,350.28,350.52,ST
test001,350.52,350.56,SD
test001,350.56,350.81,SS
test001,350.81,350.89,SS
test001,350.89,351.3,SS
test001,351.3,351.45,SS
test001,351.45,351.47,SD
test001,351.47,352.99,SS
test001,352.99,353.02,SD
test001,353.02,353.75,SS
test001,353.75,353.78,SD
test001,353.78,353.97,SS
test001,353.97,354.39,SS
test001,354.39,354.41,SD
test001,354.41,354.6,ST
test001,354.6,355.26,SS
test001,355.26,355.41,SS
test001,355.41,355.63,SS
test001,355.63,355.73,SS
test001,355.73,355.9,SS
test001,355.9,355.94,SS
test001,355.94,356.12,ST
test001,356.12,356.23,SS
test001,356.23,356.53,SS
test001,356.53,356.96,SS
test001,356.96,357.05,XM
test001,357.05,357.08,CS
test001,357.08,357.14,CO
test001,357.14,357.15,CS
test001,357.15,357.19,XM
test001,357.19,357.2,CO
test001,357.2,357.26,XM
test001,357.26,357.28,CS
test001,357.28,357.33,CO
test001,357.33,357.34,CS
test001,357.34,357.36,CO
test001,357.36,357.4,CO
test001,357.4,357.45,CO
test001,357.45,357.5,CO
test001,357.5,357.55,CO
test001,357.55,357.59,CO
test001,357.59,357.66,CO
test001,357.66,357.71,CO
test001,357.71,357.76,CO
test001,357.76,357.78,CO
test001,357.78,357.83,CO
test001,357.83,357.84,CS
test001,357.84,357.88,CO
test001,357.88,357.94,CO
test001,357.94,358.02,CO
test001,358.02,358.08,CO
test001,358.08,358.11,CO
test001,358.11,358.18,CO
test001,358.18,358.22,CO
test001,358.22,358.24,CO
test001,358.24,358.26,CO
test001,358.26,358.28,CS
test001,358.28,358.92,CO
test001,358.92,359.2,CO
test001,359.2,359.3,CO
test001,359.3,359.99,CO
test001,359.99,360.04,CS
test001,360.04,360.37,CO
test001,360.37,360.43,KL
test001,360.43,360.53,CO
test001,360.53,360.98,CO
test001,360.98,361.14,CO
test001,361.14,361.3,CO
test001,361.3,361.31,CS
test001,361.31,361.42,CO
test001,361.42,361.44,CS
test001,361.44,361.75,CO
test001,361.75,361.86,CS
test001,361.86,362.48,CO
test001,362.48,362.51,CS
test001,362.51,362.73,CO
test001,362.73,362.75,CS
test001,362.75,363.2,CO
test001,363.2,363.4,ST
test001,363.4,363.43,SS
test001,363.43,363.45,ST
test001,363.45,363.67,SS
test001,363.67,364.27,KL
test001,364.27,364.41,CO
test001,364.41,364.46,CS
test001,364.46,364.76,CO
test001,364.76,364.76,KL
test001,364.76,368.29,MS
test001,368.29,369.35,SS
test002,0,2,SO
test002,2,4,CL
test002,4,6,CL
test002,6,7,CL
test002,7,9,SA
test002,9,10,SA
test002,10,18,SA
test002,18,19,SA
test002,19,21,CL
test002,21,28,CL
test002,28,32,CL
test002,32,34,CL
test002,34,35,CS
test002,35,37,BS
test002,37,39,BS
test002,39,41,CS
test002,41,57,CS
test002,57,59,CS
test002,59,69,ST
test002,69,71,ST
test002,71,75,ST
test002,75,93,SS
test002,93,95,SS
test002,95,97,ST
test002,97,101,ST
test002,101,146,CO
test002,146,148,ST
test002,148,150,ST
test002,150,152,ST
test002,152,170,ST
test002,170,171.85,ST
test002,171.85,174.07,CO
test002,174.07,175,ST
test002,175,179,SS
test002,179,181,ST
test002,181,182,ST
test002,182,185.48,ST
test002,185.48,186.04,CO
test002,186.04,190,ST
test002,190,191,SS
test002,191,195.02,ST
test002,195.02,214.43,ST
test002,214.43,216.62,CO
test002,216.62,222.11,ST
test002,222.11,223.11,ST
test002,223.11,234.15,ST
test002,234.15,239.16,SS
test002,239.16,242.17,ST
test002,242.17,246.19,ST
test002,246.19,258.23,SS
test002,258.23,259.36,CO
test002,259.36,260.93,TF
test002,260.93,261.16,CO
test002,261.16,263.97,ST
test002,263.97,266.46,CO
test002,266.46,268.81,CL
test002,268.81,270.39,SS
test002,270.39,271.28,ST
test002,271.28,272.59,TF
test002,272.59,272.84,CO
test002,272.84,279.14,ST
test002,279.14,279.39,CO
test002,279.39,279.6,ST
test002,289,296,ST
test002,296,299,ST
test002,299,305.07,SS
test002,305.07,305.26,SS
test002,305.26,305.28,ST
test002,305.28,305.42,SS
test002,305.42,305.48,SS
test002,305.48,305.55,ST
test002,305.55,306.56,SS
test002,306.56,306.65,ST
test002,306.65,306.81,SS
test002,306.81,307.02,ST
test002,307.02,307.18,SS
test002,307.18,307.23,ST
test002,307.23,307.25,SS
test002,307.25,307.48,ST
test002,307.48,308.16,SS
test002,308.16,308.24,ST
test002,308.24,308.27,SD
test002,308.27,308.43,ST
test002,308.43,308.54,ST
test002,308.54,308.94,ST
test002,308.94,309.15,ST
test002,309.15,309.41,ST
test002,309.41,309.51,ST
test002,309.51,309.66,SS
test002,309.66,310.01,ST
test002,310.01,310.18,ST
test002,310.18,311.03,ST
test002,311.03,311.39,ST
test002,311.39,312.01,XM
test002,312.01,312.13,CO
test002,312.13,312.2,CO
test002,312.2,312.26,XM
test002,312.26,312.29,CS
test002,312.29,312.34,CO
test002,312.34,312.39,CO
test002,312.39,312.44,CO
test002,312.44,312.52,CO
test002,312.52,312.57,CO
test002,312.57,312.64,CO
test002,312.64,312.69,CO
test002,312.69,312.71,ST
test002,312.71,312.76,CO
test002,312.76,312.81,CO
test002,312.81,312.86,CO
test002,312.86,312.89,CO
test002,312.89,312.95,CO
test002,312.95,313,CO
test002,313,313.04,CO
test002,313.04,313.09,CO
test002,313.09,313.11,CO
test002,313.11,313.16,CO
test002,313.16,313.2,CO
test002,313.2,313.26,CO
test002,313.26,313.32,CO
test002,313.32,313.37,CO
test002,313.37,313.43,CO
test002,313.43,313.49,CO
test002,313.49,313.55,CO
test002,313.55,313.61,CO
test002,313.61,313.66,CO
test002,313.66,313.69,CO
test002,313.69,313.7,ST
test002,313.7,313.75,CO
test002,313.75,313.8,CO
test002,313.8,313.87,CO
test002,313.87,313.92,CO
test002,313.92,313.97,CO
test002,313.97,314.02,CO
test002,314.02,314.07,CO
test002,314.07,314.13,CO
test002,314.13,314.19,CO
test002,314.19,314.23,CO
test002,314.23,314.26,CO
test002,314.26,314.32,CO
test002,314.32,314.38,CO
test002,314.38,314.44,CO
test002,314.44,314.5,CO
test002,314.5,314.55,CO
test002,314.55,314.6,CS
test002,314.6,314.65,CO
test002,314.65,314.71,CO
test002,314.71,314.77,CO
test002,314.77,314.85,CO
test002,314.85,314.87,CO
test002,314.87,314.9,CO
test002,314.9,314.91,ST
test002,314.91,314.96,CO
test002,314.96,315.01,CO
test002,315.01,315.28,ST
test002,315.28,315.61,ST
test002,315.61,315.64,SS
test002,315.64,316.01,ST
test002,316.01,316.04,SS
test002,316.04,316.22,ST
test002,316.22,316.35,SS
test002,316.35,317.64,ST
test002,317.64,317.85,SS
test002,317.85,318.11,ST
test002,318.11,318.39,ST
test002,318.39,318.71,ST
test002,318.71,318.74,SS
test002,318.74,319.11,ST
test002,319.11,319.14,SS
test002,319.14,319.33,ST
test002,319.33,319.46,SS
test002,319.46,320.75,ST
test002,320.75,320.95,SS
test002,320.95,322.15,ST
test002,322.15,322.44,SS
test002,322.44,327.78,ST
test002,327.78,327.92,CO
test002,327.92,331.63,ST
test002,331.63,335.54,ST
test002,335.54,337.01,SS
test002,337.68,339.16,ST
test002,339.16,350,ST
test003,0,0.5,SO
test003,0.5,2,SA
test003,2,4,SA
test003,4,6,SA
test003,6,12,SS
test003,12,14,SA
test003,14,16,SA
test003,16,17,CL
test003,17,20,CL
test003,20,26,SS
test003,26,38,SS
test003,38,44,SS
test003,44,48,ST
test003,48,58,SS
test003,58,59,SS
test003,59,61,CO
test003,61,62.7,SS
test003,62.7,88,CO
test003,88,91,SS
test003,91,96,CO
test003,96,100,II
test003,100,103,CO
test003,103,109,CO
test003,109,118,CO
test003,118,124,SS
test003,124,128,SS
test003,128,129.6,CO
test003,129.6,134,SS
test003,134,153,SS
test003,153,154.8,SD
test003,154.8,155,CO
test003,155,156.5,ST
test003,156.5,161.3,CO
test003,161.3,166,ST
test003,166,174,ST
test003,174,175,CS
test003,175,176.1,SS
test003,176.1,177.4,CO
test003,177.4,177.67,ST
test003,177.67,178.25,CO
test003,178.25,180,SS
test003,180,205,SS
test003,205,205.25,CO
test003,205.25,206,SS
test003,206,210.23,SS
test003,210.23,210.45,CO
test003,210.45,217,ST
test003,217,219.35,ST
test003,219.35,219.78,CO
test003,219.78,223.35,ST
test003,223.35,223.8,CO
test003,223.8,224.48,CO
test003,224.48,227.76,ST
test003,227.76,228.26,CO
test003,228.26,229.91,TF
test003,229.91,230.11,CO
test003,230.11,231,SS
test003,231,238.99,SS
test003,238.99,252.32,SS
test003,252.32,255.4,SS
test003,255.4,258.51,SS
test003,258.51,259.56,SS
test003,259.56,261.4,SS
test003,261.4,261.51,SS
test003,261.51,261.74,SS
test003,261.74,263.38,SS
test003,263.38,264.52,SS
test003,264.52,264.62,SS
test003,264.62,265.01,SS
test003,265.01,266.84,SS
test003,266.84,266.95,SS
test003,266.95,267.18,SS
test003,267.18,268.82,SS
test003,268.82,269.96,SS
test003,269.96,270.06,SS
test003,270.06,270.45,SS
test003,270.45,270.57,CO
test003,270.57,270.61,CO
test003,270.61,270.68,CO
test003,270.68,270.73,CO
test003,270.73,270.82,CO
test003,270.82,270.89,CO
test003,270.89,270.98,CO
test003,270.98,271,CO
test003,271,271.08,CO
test003,271.08,271.16,CO
test003,271.16,271.23,CO
test003,271.23,271.25,CO
test003,271.25,271.33,CO
test003,271.33,271.38,CS
test003,271.38,271.46,CO
test003,271.46,271.49,CO
test003,271.49,271.58,CO
test003,271.58,271.62,CO
test003,271.62,271.89,CO
test003,271.89,271.94,CO
test003,271.94,271.96,CS
test003,271.96,272.05,CO
test003,272.05,272.09,CO
test003,272.09,272.15,CO
test003,272.15,272.16,CO
test003,272.16,272.38,CO
test003,272.38,272.45,CO
test003,272.45,272.56,CO
test003,272.56,272.59,CO
test003,272.59,272.6,PY
test003,272.6,272.68,CO
test003,272.68,272.76,CO
test003,272.76,272.78,CS
test003,272.78,272.81,CO
test003,272.81,272.83,CO
test003,272.83,272.88,CO
test003,272.88,272.94,CS
test003,272.94,272.99,CO
test003,272.99,273.02,CO
test003,273.02,273.22,CO
test003,273.22,273.24,CO
test003,273.24,273.39,CS
test003,273.39,273.43,CO
test003,273.43,273.5,CO
test003,273.5,273.58,CO
test003,273.58,273.61,CO
test003,273.61,273.7,CO
test003,273.7,273.71,CO
test003,273.71,273.81,CO
test003,273.81,273.84,CO
test003,273.84,274.04,CO
test003,274.04,274.1,CO
test003,274.1,274.21,CO
test003,274.21,274.24,CS
test003,274.24,274.33,CO
test003,274.33,274.49,CO
test003,274.49,274.79,CO
test003,274.79,274.83,CO
test003,274.83,274.9,CO
test003,274.9,274.98,CO
test003,274.98,275.12,ST
test003,275.12,275.29,SS
test003,275.29,275.46,SS
test003,275.46,275.98,SS
test003,275.98,276.29,SS
test003,276.29,277.11,SS
test003,277.11,277.29,ST
test003,277.29,279.05,SS
test003,279.05,280.6,SS
